2024-07-07|14:10:00|Website Hosting|Bluehost|-14.99
2024-07-09|11:50:00|Client Payment|Client J|2900.00
2024-08-15|10:30:00|Software Subscription|Adobe|-54.99
2024-08-20|09:20:00|Freelance Income|Client K|1600.00
2024-09-02|09:00:00|Monthly Rent|Sunset Apartments|-1350.00
2024-09-06|08:45:00|Coffee|Starbucks|-6.50
2024-09-10|17:30:00|Online Course Refund|Coursera|49.99
2024-10-01|09:00:00|Monthly Rent|Sunset Apartments|-1350.00
2024-10-03|11:45:00|Lunch|Chipotle|-13.75
2024-10-05|10:00:00|Freelance Deposit|Client L|2100.00h
